#       SHIFT                | Serpent              | Serpent, myAMPX      | SHIFT, myAMPX        | Serpent, noSab       | Serpent, noSab, Pu239 for U5 | Serpent, noSab, Th232 for U8 | SHIFT, noSab, Th232 for U8 | SHIFT, detailed AMPX | KENO                 |
#           keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)  
 770.0 1.07272500 0.00019100  1.07151000 0.00007072  1.20774000 0.00014493  1.07222800 0.00018500  1.07288000 0.00006759  1.31662000 0.00008163  0.67580200 0.00003649  0.67777900 0.00009600      NaN         NaN    1.07247000 0.00013000  
 780.0 1.07222600 0.00018000  1.07127000 0.00006749  1.20771000 0.00014493  1.07247900 0.00016400  1.07264000 0.00006865  1.31754000 0.00008169  0.67598500 0.00003650  0.67780800 0.00009600      NaN         NaN    1.07204000 0.00013000  
 790.0 1.07210200 0.00015500  1.07112000 0.00007069  1.20687000 0.00014482  1.07215900 0.00016300  1.07232000 0.00006756  1.31826000 0.00008173  0.67601000 0.00003583  0.67787800 0.00011400      NaN         NaN    1.07174000 0.00013000  
 800.0 1.07210600 0.00016600  1.07094000 0.00007389  1.20720000 0.00014486  1.07206500 0.00017200  1.07232000 0.00006863  1.31912000 0.00008574  0.67620800 0.00003381  0.67800700 0.00009500  1.07209200 0.00016400  1.07190000 0.00013000  
 810.0 1.07185000 0.00018500  1.07076000 0.00006853  1.20690000 0.00014483  1.07156300 0.00017200  1.07202000 0.00006647  1.31977000 0.00008579  0.67637100 0.00003585  0.67819100 0.00010100  1.07198700 0.00019900  1.07138000 0.00013000  
 820.0 1.07138200 0.00020100  1.07050000 0.00006744  1.20679000 0.00014481  1.07142900 0.00016000  1.07174000 0.00006752  1.32081000 0.00008321  0.67636600 0.00003855  0.67818800 0.00009600  1.07173300 0.00018000  1.07134000 0.00014000  
 830.0 1.07097600 0.00017100  1.07038000 0.00006529  1.20672000 0.00014481  1.07127700 0.00016500  1.07172000 0.00006859  1.32147000 0.00008457  0.67659300 0.00003924  0.67816100 0.00009800  1.07122000 0.00015800  1.07100000 0.00012000  
 840.0 1.07125800 0.00017800  1.07036000 0.00006529  1.20659000 0.00015686  1.07113100 0.00015800  1.07151000 0.00006751  1.32235000 0.00008331  0.67670900 0.00003790  0.67851500 0.00009700  1.07131200 0.00017900  1.07093000 0.00012000  
 850.0 1.07094200 0.00016800  1.06997000 0.00006955  1.20657000 0.00015685  1.07101500 0.00016800  1.07132000 0.00006964  1.32304000 0.00008335  0.67676400 0.00003655  0.67848000 0.00009700  1.07110300 0.00015300  1.07068000 0.00012000  
 860.0 1.07092000 0.00016400  1.06979000 0.00006740  1.20637000 0.00014476  1.07067700 0.00016800  1.07110000 0.00007069  1.32376000 0.00008472  0.67698300 0.00003588  0.67848500 0.00010100  1.07102400 0.00017700  1.07046000 0.00012000  
 870.0 1.07050600 0.00017100  1.06966000 0.00006846  1.20601000 0.00014472  1.07056500 0.00017700  1.07092000 0.00006854  1.32430000 0.00008078  0.67711900 0.00003724  0.67855900 0.00009800  1.07045000 0.00016700  1.07035000 0.00014000  
 880.0 1.07064700 0.00019000  1.06927000 0.00006736  1.20603000 0.00014472  1.07038800 0.00017000  1.07053000 0.00006851  1.32511000 0.00008216  0.67720800 0.00003725  0.67877500 0.00010800  1.07058700 0.00016700  1.07027000 0.00011000  
 890.0 1.07001200 0.00017200  1.06926000 0.00007057  1.20618000 0.00014474  1.07034400 0.00016400  1.07035000 0.00006850  1.32561000 0.00008616  0.67731900 0.00003725  0.67887300 0.00009400  1.07010500 0.00016300  1.06982000 0.00011000  
 900.0 1.07008800 0.00016400  1.06904000 0.00006735  1.20584000 0.00015676  1.07006400 0.00016900  1.07019000 0.00007063  1.32628000 0.00008621  0.67744400 0.00003726  0.67911500 0.00009500      NaN         NaN    1.06966000 0.00014000  
 910.0 1.06997200 0.00018500  1.06891000 0.00006841  1.20569000 0.00014468      NaN         NaN    1.07007000 0.00007062  1.32709000 0.00008361  0.67759200 0.00003727  0.67913800 0.00010800      NaN         NaN    1.06954000 0.00015000  
 920.0 1.06966100 0.00016300  1.06865000 0.00006519  1.20539000 0.00015670      NaN         NaN    1.06989000 0.00007061  1.32766000 0.00008895  0.67773200 0.00003592  0.67909200 0.00010100      NaN         NaN    1.06935000 0.00012000  
 930.0 1.06942300 0.00017300  1.06837000 0.00006731  1.20498000 0.00015665      NaN         NaN    1.06956000 0.00006952  1.32839000 0.00007970  0.67781900 0.00003864  0.67911100 0.00010700      NaN         NaN    1.06899000 0.00011000  
 940.0 1.06918800 0.00016900  1.06820000 0.00007157  1.20498000 0.00015665      NaN         NaN    1.06944000 0.00006844  1.32883000 0.00008505  0.67798500 0.00003593  0.67934700 0.00010800      NaN         NaN    1.06885000 0.00014000  
 950.0 1.06896200 0.00016500  1.06806000 0.00007263  1.20461000 0.00014455      NaN         NaN    1.06925000 0.00006950  1.32946000 0.00007977  0.67810600 0.00003662  0.67981800 0.00010000      NaN         NaN    1.06850000 0.00012000  
